Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
java.util.regex.Pattern$BackRef,BackRef,java.util.regex.Pattern$BackRef,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,620,3,3073
java.nio.ShortBuffer,ShortBuffer,java.nio.ShortBuffer,29,2,27,2,5,10,0,0,2,3,0,0,0,0,2,1,3,6,620,33,3073
java.util.EnumMap,EnumMap,java.util.EnumMap,36,3,16,11,10,0,0,0,4,8,0,8,0,0,4,5,8,25,630,46,10
java.awt.peer.ComponentPeer,ComponentPeer,java.awt.peer.ComponentPeer,40,0,40,0,0,40,0,0,7,7,7,0,0,0,7,4,13,23,1177,47,673
javax.swing.event.MenuDragMouseEvent,MenuDragMouseEvent,javax.swing.event.MenuDragMouseEvent,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1181,4,72
java.awt.color.ColorSpace,ColorSpace,java.awt.color.ColorSpace,12,1,11,0,2,4,0,0,31,39,30,8,0,0,31,1,2,4,621,52,673
java.util.jar.JarVerifier,JarVerifier,java.util.jar.JarVerifier,26,1,14,8,3,0,0,0,1,23,0,20,0,0,1,3,3,18,620,49,3073
sun.awt.image.PixelConverter$ByteGray,ByteGray,sun.awt.image.PixelConverter$ByteGray,2,2,2,0,0,0,0,0,4,4,1,0,0,0,4,0,1,17,1177,6,672
java.util.ResourceBundle$Control,Control,java.util.ResourceBundle$Control,11,1,10,0,3,0,0,0,7,7,5,2,0,0,7,1,3,11,620,18,3074
java.rmi.dgc.Lease,Lease,java.rmi.dgc.Lease,2,1,2,0,0,0,0,0,1,3,0,3,0,0,1,1,1,3,622,6,1
sun.text.normalizer.NormalizerBase$IsPrevTrueStarter,IsPrevTrueStarter,sun.text.normalizer.NormalizerBase$IsPrevTrueStarter,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,648,2,13
