Id,Connections
java.nio.file.FileStore,36
java.lang.Throwable$PrintStreamOrWriter,2
java.lang.ClassLoader$NativeLibrary,30
java.io.ObjectOutputStream$ReplaceTable,15
java.util.regex.Pattern$Prolog,6
java.util.Map,89
java.lang.RuntimePermission,28
java.lang.annotation.RetentionPolicy,10
java.util.HashMap,59
java.util.regex.Matcher,49
java.io.ObjectInputStream$GetField,26
java.util.AbstractList$Itr,36
java.util.Hashtable$Entry,36
java.io.ObjectInputStream$HandleTable$HandleList,27
java.lang.NoSuchMethodException,8
java.util.regex.PatternSyntaxException,6
java.util.HashMap$EntrySet,14
java.util.regex.Pattern$Branch,6
java.lang.ref.Reference$1,20
java.security.cert.CertificateException,23
java.util.regex.Pattern$SliceU,6
java.util.LinkedList,37
java.io.File,39
java.util.jar.JarFile,36
java.security.NoSuchProviderException,41
java.lang.ClassFormatError,29
java.nio.charset.CharsetEncoder,10
java.lang.ref.ReferenceQueue$Lock,18
java.math.BigDecimal,9
java.util.regex.Pattern$SliceIS,6
java.util.Collection,65
java.lang.Character$UnicodeBlock,15
java.lang.Appendable,50
java.util.Hashtable$KeySet,34
java.lang.Package,29
java.text.spi.DateFormatSymbolsProvider,9
sun.reflect.generics.tree.Signature,12
sun.util.locale.BaseLocale$1,11
java.nio.channels.AsynchronousFileChannel,37
java.lang.reflect.Method,20
java.util.concurrent.ExecutionException,38
java.util.regex.Pattern$BnMS,6
java.lang.Throwable$WrappedPrintStream,2
java.util.Locale$1,7
java.io.Serializable,96
java.net.FileNameMap,13
sun.reflect.generics.tree.VoidDescriptor,13
sun.reflect.generics.visitor.TypeTreeVisitor,31
java.nio.charset.Charset,14
java.io.Writer,7
java.nio.FloatBuffer,40
java.net.URLConnection,14
java.util.LinkedList$Node,35
java.io.ObjectOutputStream$PutField,15
sun.reflect.generics.tree.ArrayTypeSignature,13
java.util.jar.JarVerifier$VerifierCodeSource,34
java.util.Locale$LocaleNameGetter,8
java.nio.channels.FileLock,38
java.nio.file.attribute.FileTime$1,38
java.util.regex.Pattern$Start,6
sun.util.LocaleServiceProviderPool,12
java.lang.ClassLoader$ParallelLoaders,29
java.lang.InheritableThreadLocal,12
java.util.LinkedHashMap$ValueIterator,15
java.net.UnknownHostException,23
java.nio.IntBuffer,40
java.util.LinkedList$ListItr,34
java.util.concurrent.ConcurrentHashMap,40
java.util.LinkedHashMap$1,15
java.lang.Readable,40
java.net.URLStreamHandler,31
java.lang.String$CaseInsensitiveComparator,6
java.lang.InstantiationException,21
java.net.InetAddress$Cache$Type,15
java.lang.AssertionStatusDirectives,29
java.io.DataInput,30
java.io.InputStream,50
java.lang.ThreadLocal$ThreadLocalMap,40
java.lang.StackTraceElement,3
java.io.ObjectInputStream$HandleTable,28
java.io.BufferedWriter,4
sun.util.locale.InternalLocaleBuilder,12
java.lang.StringBuilder,38
sun.reflect.generics.tree.ByteSignature,13
sun.misc.Unsafe,35
java.util.Locale$Builder,8
java.util.Formatter$FormatSpecifier,7
java.lang.ref.WeakReference,8
java.util.regex.Pattern$Curly,6
java.lang.ThreadLocal$ThreadLocalMap$Entry,29
java.lang.AutoCloseable,43
java.util.ArrayList,39
java.nio.DoubleBuffer,40
sun.security.util.ManifestEntryVerifier,36
sun.reflect.generics.tree.BooleanSignature,13
java.text.DateFormatSymbols,10
java.lang.ref.Reference$ReferenceHandler,20
java.io.PrintStream,32
java.nio.charset.CharsetDecoder,8
java.nio.file.PathMatcher,35
java.lang.reflect.InvocationTargetException,22
java.nio.file.Path,39
java.lang.IllegalAccessException,23
java.util.jar.Manifest$FastInputStream,36
java.util.regex.Pattern$SliceUS,6
java.nio.file.attribute.UserPrincipal,37
java.util.concurrent.atomic.AtomicLong,25
java.util.jar.JarFile$JarFileEntry,32
java.util.regex.Pattern$GroupHead,7
java.lang.Character,15
java.util.regex.Pattern$End,6
sun.reflect.generics.tree.ClassTypeSignature,12
java.util.TimeZone,14
java.util.concurrent.TimeoutException,38
java.lang.Exception,43
