Source,Target
java.lang.CharSequence,java.lang.UnsupportedOperationException
java.io.PrintWriter,java.lang.UnsupportedOperationException
java.lang.Throwable,java.lang.UnsupportedOperationException
java.util.Locale,java.lang.UnsupportedOperationException
java.lang.Object,java.lang.UnsupportedOperationException
java.net.URL,java.lang.UnsupportedOperationException
java.io.ObjectInputStream$GetFieldImpl,java.lang.UnsupportedOperationException
java.io.ObjectStreamClass,java.lang.UnsupportedOperationException
java.lang.Class,java.lang.UnsupportedOperationException
java.lang.String,java.lang.UnsupportedOperationException
java.io.ObjectInputStream,java.lang.UnsupportedOperationException
java.net.URI,sun.util.calendar.BaseCalendar
java.io.PrintWriter,sun.util.calendar.BaseCalendar
java.io.ObjectStreamClass$EntryFuture,sun.util.calendar.BaseCalendar
java.lang.Throwable,sun.util.calendar.BaseCalendar
java.util.Locale,sun.util.calendar.BaseCalendar
java.lang.Object,sun.util.calendar.BaseCalendar
java.util.Formatter$FormatSpecifier,sun.util.calendar.BaseCalendar
java.security.AccessControlContext,sun.util.calendar.BaseCalendar
java.io.ObjectInputStream$GetFieldImpl,sun.util.calendar.BaseCalendar
java.net.URL,sun.util.calendar.BaseCalendar
java.lang.String,sun.util.calendar.BaseCalendar
java.security.ProtectionDomain,sun.util.calendar.BaseCalendar
sun.misc.Unsafe,sun.util.calendar.BaseCalendar
sun.misc.URLClassPath,sun.util.calendar.BaseCalendar
sun.misc.URLClassPath$JarLoader,sun.util.calendar.BaseCalendar
sun.security.util.Debug,sun.util.calendar.BaseCalendar
sun.net.www.MessageHeader,sun.util.calendar.BaseCalendar
java.lang.Thread,sun.util.calendar.BaseCalendar
java.io.ObjectStreamClass,sun.util.calendar.BaseCalendar
java.net.URLConnection,sun.util.calendar.BaseCalendar
java.util.Date,sun.util.calendar.BaseCalendar
java.math.BigInteger,sun.util.calendar.BaseCalendar
java.lang.CharSequence,sun.util.calendar.BaseCalendar
java.io.PrintStream,sun.util.calendar.BaseCalendar
java.io.ObjectInputStream,sun.util.calendar.BaseCalendar
java.util.Calendar,sun.util.calendar.BaseCalendar
java.util.Formatter,sun.util.calendar.BaseCalendar
java.lang.ClassLoader,sun.util.calendar.BaseCalendar
java.lang.Class,sun.util.calendar.BaseCalendar
java.net.URLStreamHandler,sun.util.calendar.BaseCalendar
sun.util.calendar.BaseCalendar$Date,sun.util.calendar.BaseCalendar
java.net.URI,java.lang.ClassLoader$NativeLibrary
java.lang.CharSequence,java.lang.ClassLoader$NativeLibrary
java.io.PrintWriter,java.lang.ClassLoader$NativeLibrary
java.io.ObjectStreamClass$EntryFuture,java.lang.ClassLoader$NativeLibrary
java.lang.Throwable,java.lang.ClassLoader$NativeLibrary
java.util.Locale,java.lang.ClassLoader$NativeLibrary
java.lang.Object,java.lang.ClassLoader$NativeLibrary
java.security.AccessControlContext,java.lang.ClassLoader$NativeLibrary
java.net.URL,java.lang.ClassLoader$NativeLibrary
java.io.ObjectInputStream$GetFieldImpl,java.lang.ClassLoader$NativeLibrary
java.lang.String,java.lang.ClassLoader$NativeLibrary
java.security.ProtectionDomain,java.lang.ClassLoader$NativeLibrary
sun.misc.Unsafe,java.lang.ClassLoader$NativeLibrary
java.io.ObjectInputStream,java.lang.ClassLoader$NativeLibrary
sun.security.util.Debug,java.lang.ClassLoader$NativeLibrary
java.lang.Thread,java.lang.ClassLoader$NativeLibrary
java.io.ObjectStreamClass,java.lang.ClassLoader$NativeLibrary
java.lang.ClassLoader,java.lang.ClassLoader$NativeLibrary
java.math.BigInteger,java.lang.ClassLoader$NativeLibrary
java.lang.Class,java.lang.ClassLoader$NativeLibrary
java.net.URI,java.util.regex.Pattern$LastMatch
java.io.PrintWriter,java.util.regex.Pattern$LastMatch
java.io.ObjectStreamClass$EntryFuture,java.util.regex.Pattern$LastMatch
java.lang.Throwable,java.util.regex.Pattern$LastMatch
java.lang.Object,java.util.regex.Pattern$LastMatch
java.util.Locale,java.util.regex.Pattern$LastMatch
java.security.AccessControlContext,java.util.regex.Pattern$LastMatch
java.io.ObjectInputStream$GetFieldImpl,java.util.regex.Pattern$LastMatch
java.net.URL,java.util.regex.Pattern$LastMatch
java.security.ProtectionDomain,java.util.regex.Pattern$LastMatch
java.lang.String,java.util.regex.Pattern$LastMatch
sun.misc.Unsafe,java.util.regex.Pattern$LastMatch
sun.misc.URLClassPath,java.util.regex.Pattern$LastMatch
sun.misc.URLClassPath$JarLoader,java.util.regex.Pattern$LastMatch
sun.security.util.Debug,java.util.regex.Pattern$LastMatch
sun.net.www.MessageHeader,java.util.regex.Pattern$LastMatch
java.lang.Thread,java.util.regex.Pattern$LastMatch
java.io.ObjectStreamClass,java.util.regex.Pattern$LastMatch
java.math.BigInteger,java.util.regex.Pattern$LastMatch
java.net.URLConnection,java.util.regex.Pattern$LastMatch
java.lang.CharSequence,java.util.regex.Pattern$LastMatch
java.io.PrintStream,java.util.regex.Pattern$LastMatch
java.util.regex.Pattern,java.util.regex.Pattern$LastMatch
java.io.ObjectInputStream,java.util.regex.Pattern$LastMatch
java.util.Formatter,java.util.regex.Pattern$LastMatch
java.lang.ClassLoader,java.util.regex.Pattern$LastMatch
java.lang.Class,java.util.regex.Pattern$LastMatch
java.net.URLStreamHandler,java.util.regex.Pattern$LastMatch
java.net.URI,java.net.ContentHandlerFactory
java.lang.CharSequence,java.net.ContentHandlerFactory
java.io.PrintWriter,java.net.ContentHandlerFactory
java.io.ObjectStreamClass$EntryFuture,java.net.ContentHandlerFactory
java.lang.Throwable,java.net.ContentHandlerFactory
java.util.Locale,java.net.ContentHandlerFactory
java.lang.Object,java.net.ContentHandlerFactory
java.security.AccessControlContext,java.net.ContentHandlerFactory
java.net.URL,java.net.ContentHandlerFactory
java.io.ObjectInputStream$GetFieldImpl,java.net.ContentHandlerFactory
java.lang.String,java.net.ContentHandlerFactory
java.security.ProtectionDomain,java.net.ContentHandlerFactory
sun.misc.Unsafe,java.net.ContentHandlerFactory
java.io.ObjectInputStream,java.net.ContentHandlerFactory
sun.misc.URLClassPath$JarLoader,java.net.ContentHandlerFactory
sun.misc.URLClassPath,java.net.ContentHandlerFactory
sun.security.util.Debug,java.net.ContentHandlerFactory
java.lang.Thread,java.net.ContentHandlerFactory
java.io.ObjectStreamClass,java.net.ContentHandlerFactory
java.net.URLConnection,java.net.ContentHandlerFactory
java.lang.ClassLoader,java.net.ContentHandlerFactory
java.math.BigInteger,java.net.ContentHandlerFactory
java.lang.Class,java.net.ContentHandlerFactory
java.net.URLStreamHandler,java.net.ContentHandlerFactory
java.net.URI,java.io.ObjectStreamClass$WeakClassKey
java.lang.CharSequence,java.io.ObjectStreamClass$WeakClassKey
java.io.PrintWriter,java.io.ObjectStreamClass$WeakClassKey
java.lang.Throwable,java.io.ObjectStreamClass$WeakClassKey
java.util.Locale,java.io.ObjectStreamClass$WeakClassKey
java.lang.Object,java.io.ObjectStreamClass$WeakClassKey
java.net.URL,java.io.ObjectStreamClass$WeakClassKey
java.io.ObjectInputStream$GetFieldImpl,java.io.ObjectStreamClass$WeakClassKey
java.io.ObjectStreamClass,java.io.ObjectStreamClass$WeakClassKey
java.lang.Class,java.io.ObjectStreamClass$WeakClassKey
java.lang.String,java.io.ObjectStreamClass$WeakClassKey
java.io.ObjectInputStream,java.io.ObjectStreamClass$WeakClassKey
java.net.URI,java.util.concurrent.TimeoutException
java.io.PrintWriter,java.util.concurrent.TimeoutException
java.io.ObjectStreamClass$EntryFuture,java.util.concurrent.TimeoutException
sun.misc.URLClassPath$FileLoader,java.util.concurrent.TimeoutException
java.lang.Throwable,java.util.concurrent.TimeoutException
java.lang.Object,java.util.concurrent.TimeoutException
java.util.Locale,java.util.concurrent.TimeoutException
java.security.AccessControlContext,java.util.concurrent.TimeoutException
java.nio.channels.AsynchronousFileChannel,java.util.concurrent.TimeoutException
java.io.ObjectInputStream$GetFieldImpl,java.util.concurrent.TimeoutException
java.net.URL,java.util.concurrent.TimeoutException
java.lang.String,java.util.concurrent.TimeoutException
java.security.ProtectionDomain,java.util.concurrent.TimeoutException
sun.misc.Unsafe,java.util.concurrent.TimeoutException
java.nio.file.FileSystem,java.util.concurrent.TimeoutException
sun.misc.URLClassPath,java.util.concurrent.TimeoutException
java.nio.file.Path,java.util.concurrent.TimeoutException
sun.security.util.Debug,java.util.concurrent.TimeoutException
java.lang.Thread,java.util.concurrent.TimeoutException
java.io.ObjectStreamClass,java.util.concurrent.TimeoutException
java.math.BigInteger,java.util.concurrent.TimeoutException
java.lang.CharSequence,java.util.concurrent.TimeoutException
java.nio.file.spi.FileSystemProvider,java.util.concurrent.TimeoutException
java.io.ObjectInputStream,java.util.concurrent.TimeoutException
java.io.File,java.util.concurrent.TimeoutException
java.util.concurrent.ExecutorService,java.util.concurrent.TimeoutException
java.util.concurrent.Future,java.util.concurrent.TimeoutException
java.lang.ClassLoader,java.util.concurrent.TimeoutException
java.lang.Class,java.util.concurrent.TimeoutException
java.security.CodeSource,java.io.ObjectOutputStream$BlockDataOutputStream
java.net.URI,java.io.ObjectOutputStream$BlockDataOutputStream
java.lang.CharSequence,java.io.ObjectOutputStream$BlockDataOutputStream
java.io.PrintWriter,java.io.ObjectOutputStream$BlockDataOutputStream
java.io.ObjectStreamClass$EntryFuture,java.io.ObjectOutputStream$BlockDataOutputStream
java.lang.Throwable,java.io.ObjectOutputStream$BlockDataOutputStream
java.util.Locale,java.io.ObjectOutputStream$BlockDataOutputStream
java.lang.Object,java.io.ObjectOutputStream$BlockDataOutputStream
java.security.AccessControlContext,java.io.ObjectOutputStream$BlockDataOutputStream
java.net.URL,java.io.ObjectOutputStream$BlockDataOutputStream
java.io.ObjectInputStream$GetFieldImpl,java.io.ObjectOutputStream$BlockDataOutputStream
java.lang.String,java.io.ObjectOutputStream$BlockDataOutputStream
java.security.ProtectionDomain,java.io.ObjectOutputStream$BlockDataOutputStream
sun.misc.Unsafe,java.io.ObjectOutputStream$BlockDataOutputStream
java.io.ObjectInputStream,java.io.ObjectOutputStream$BlockDataOutputStream
